Event;Year;Location;Division;Name;Country;Place
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Kneel;Llywelyn Williams;WAL;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Kneel;Dariel Melendez Davila;CRI;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Kneel;Altair Olivares;CHI;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - Kneel;Mark Stewart;AUS;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Kneel;Audrey Pascual;ESP;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Kneel;Vera Quaresma;BRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Kneel;Emma Dieters;AUS;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - Kneel;Erin Koffel;USA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - VI 1;Elias Ricardo Diel;BRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - VI 1;Thomas Da Silva;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - VI 1;Ben Neumann;GER;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - VI 1;Kirk Watson;AUS;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - VI 2;Pierrot Gagliano;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - VI 2;Roy Steven Calderon Vargas;CRI;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - VI 2;Luis Medina;CHI;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;MEN - VI 2;Matt Formston;AUS;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - VI 1;Marta Paço;PRT;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - VI 1;VALENTINE MOSKOTEOC;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - VI 1;CARMEN LOPEZ;ESP;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - VI 1;JULIETTE MAS;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - VI 2;Alelí Medina;PRI;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - VI 2;Ling Pai;CAN;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;WOMEN - VI 2;Lou Mechiche;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;Team;FRANCE;FRA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;Team;USA;USA;
ISA World Para Surfing Championship;2024;Huntington Beach, CA;Team;Australia;AUS;
