Event;Year;Location;Division;Name;Country;Place
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;Team;USA;USA;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;Team;France;FRA;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;Open Men;Leandro Usuna;ARG;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;Open Men;Lucca Mesinas;PER;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;Open Men;Noe Mar McGonagle;CRI;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;Open Men;Francisco Bellorin;VEN;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;Open Women;Tia Blanco;USA;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;Open Women;Dominic Barona;ECU;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;Open Women;Pauline Ado;FRA;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;Open Women;Justine Dupont;FRA;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;ISA Aloha Cup;USA;USA;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;ISA Aloha Cup;Argentina;ARG;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;ISA Aloha Cup;Costa Rica;CRI;
ISA World Surfing Games;2016;Playa Jacó, Costa Rica;ISA Aloha Cup;New Zealand;NZL;
ISA World Bodyboard Championship;2015;Iquique, Chile;Open Men;Eder Luciano;BRA;
ISA World Bodyboard Championship;2015;Iquique, Chile;Open Men;Alan Muñoz;CHI;
ISA World Bodyboard Championship;2015;Iquique, Chile;Open Men;Miguel Rodriguez;PER;
ISA World Bodyboard Championship;2015;Iquique, Chile;Open Men;Matias Diaz;CHI;
ISA World Bodyboard Championship;2015;Iquique, Chile;Open Women;Anne Cécile Lacoste;FRA;
ISA World Bodyboard Championship;2015;Iquique, Chile;Open Women;Neymara Carvalho;BRA;
ISA World Bodyboard Championship;2015;Iquique, Chile;Open Women;Joana Schenker;PRT;
ISA World Bodyboard Championship;2015;Iquique, Chile;Open Women;Ayaka Suzuki;JPN;
ISA World Bodyboard Championship;2015;Iquique, Chile;ISA Aloha Cup;France;FRA;
ISA World Bodyboard Championship;2015;Iquique, Chile;ISA Aloha Cup;Chile;CHI;
ISA World Bodyboard Championship;2015;Iquique, Chile;ISA Aloha Cup;PRTtugal;PRT;
ISA World Bodyboard Championship;2015;Iquique, Chile;ISA Aloha Cup;Japan;JPN;
ISA World Bodyboard Championship;2015;Iquique, Chile;Boys U18;Yoshua Toledo;CHI;
ISA World Bodyboard Championship;2015;Iquique, Chile;Boys U18;Socrates Santana;BRA;
ISA World Bodyboard Championship;2015;Iquique, Chile;Boys U18;Stephanos Kokorelis;PRT;
ISA World Bodyboard Championship;2015;Iquique, Chile;Boys U18;Milo Delage;FRA;
ISA World Bodyboard Championship;2015;Iquique, Chile;Girls U18;Shiori Okazawa;JPN;
ISA World Bodyboard Championship;2015;Iquique, Chile;Girls U18;Victória Moraes;BRA;
ISA World Bodyboard Championship;2015;Iquique, Chile;Girls U18;Kim Veteau;FRA;
ISA World Bodyboard Championship;2015;Iquique, Chile;Girls U18;Anais Veliz;CHI;
ISA World Bodyboard Championship;2015;Iquique, Chile;Team;Brazil;BRA;
ISA World Bodyboard Championship;2015;Iquique, Chile;Team;Chile;CHI;
ISA World Bodyboard Championship;2015;Iquique, Chile;Team;France;FRA;
ISA World Bodyboard Championship;2015;Iquique, Chile;Team;Peru;PER;
ISA World Bodyboard Championship;2015;Iquique, Chile;Drop Knee;Luis Rodriguez;VEN;
ISA World Bodyboard Championship;2015;Iquique, Chile;Drop Knee;Cesar Bauer;PER;
ISA World Bodyboard Championship;2015;Iquique, Chile;Drop Knee;Renato Arellano;CHI;
ISA World Bodyboard Championship;2015;Iquique, Chile;Drop Knee;Daniel Alves;BRA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Team;USA;USA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Team;France;FRA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2015;Oceanside, California;Team;Australia;AUS;
ISA World Junior Surfing Championship;2015;Oceanside, California;Boys U18;Leonardo Fioravanti;ITA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Boys U18;Nommé Mignot;FRA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Boys U18;Jake Marshall;USA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Boys U18;Shun Murakami;JPN;
ISA World Junior Surfing Championship;2015;Oceanside, California;Girls U18;Tessa Thyssen;FRA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Girls U18;Tia Blanco;USA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Girls U18;Frankie Harrer;USA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Girls U18;Mahina Maeda;HAW;
ISA World Junior Surfing Championship;2015;Oceanside, California;Boys U16;Stevie Pittman;USA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Boys U16;Reef Heazlewood;AUS;
ISA World Junior Surfing Championship;2015;Oceanside, California;Boys U16;Marco Mignot;FRA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Boys U16;John Mel;USA;
ISA World Junior Surfing Championship;2015;Oceanside, California;Girls U16;Summer Macedo;HAW;
ISA World Junior Surfing Championship;2015;Oceanside, California;Girls U16;Macy Callaghan;AUS;
ISA World Junior Surfing Championship;2015;Oceanside, California;Girls U16;Brisa Hennessy;HAW;
ISA World Junior Surfing Championship;2015;Oceanside, California;Girls U16;Teresa Bonvalot;PRT;
ISA World Junior Surfing Championship;2015;Oceanside, California;ISA Aloha Cup;France;FRA;
ISA World Junior Surfing Championship;2015;Oceanside, California;ISA Aloha Cup;Japan;JPN;
ISA World Junior Surfing Championship;2015;Oceanside, California;ISA Aloha Cup;Brazil;BRA;
ISA World Junior Surfing Championship;2015;Oceanside, California;ISA Aloha Cup;USA;USA;
ISA World Para Surfing Championship;2015;La Jolla, California;Stand;Mark Stewart;AUS;
ISA World Para Surfing Championship;2015;La Jolla, California;Stand;Antony Smyth;ZAF;
ISA World Para Surfing Championship;2015;La Jolla, California;Stand;Alcino Silva Neto;BRA;
ISA World Para Surfing Championship;2015;La Jolla, California;Stand;Mike Coots;HAW;
ISA World Para Surfing Championship;2015;La Jolla, California;Assist;Jesse Billauer;USA;
ISA World Para Surfing Championship;2015;La Jolla, California;Assist;Davi Teixeira;BRA;
ISA World Para Surfing Championship;2015;La Jolla, California;Assist;Juan M. de Posadas;URU;
ISA World Para Surfing Championship;2015;La Jolla, California;Assist;Darian Haynes;HAW;
ISA World Para Surfing Championship;2015;La Jolla, California;Prone;Bruno Hansen;DNK;
ISA World Para Surfing Championship;2015;La Jolla, California;Prone;Christian Bailey;USA;
ISA World Para Surfing Championship;2015;La Jolla, California;Prone;Alvaro Bayona;ESP;
ISA World Para Surfing Championship;2015;La Jolla, California;Prone;Ryan Baker;USA;
ISA World Para Surfing Championship;2015;La Jolla, California;Upright;Felipe Lima;BRA;
ISA World Para Surfing Championship;2015;La Jolla, California;Upright;Jeff Munson;USA;
ISA World Para Surfing Championship;2015;La Jolla, California;Upright;Chris Oberle;USA;
ISA World Para Surfing Championship;2015;La Jolla, California;Upright;Freddy Carillo;USA;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Team;Costa Rica;CRI;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Team;PRTtugal;PRT;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Team;USA;USA;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Team;Peru;PER;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Open Men;Noe Mar McGonagle;CRI;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Open Men;Nicolau Von Rupp;PRT;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Open Men;Shane Holmes;AUS;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Open Men;Leandro Usuna;ARG;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Open Women;Tia Blanco;USA;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Open Women;Leilani McGonagle;CRI;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Open Women;Ella Williams;NZL;
ISA World Surfing Games;2015;Popoyo, Nicaragua;Open Women;Chelsea Tuach;BAR;
ISA World Surfing Games;2015;Popoyo, Nicaragua;ISA Aloha Cup;Costa Rica;CRI;
ISA World Surfing Games;2015;Popoyo, Nicaragua;ISA Aloha Cup;Australia;AUS;
ISA World Surfing Games;2015;Popoyo, Nicaragua;ISA Aloha Cup;Argentina;ARG;
ISA World Surfing Games;2015;Popoyo, Nicaragua;ISA Aloha Cup;Peru;PER;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Team;USA;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Team;Australia;AUS;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Team;Hawaii;HAW;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Team;New Zealand;NZL;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;SUP Surf Men;Sean Poynter;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;SUP Surf Men;Poenaiki Raioha;TAH;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;SUP Surf Men;Felipe Hernandez;MEX;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;SUP Surf Men;Antoine Delpero;FRA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;SUP Surf Women;Izzi Gomez;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;SUP Surf Women;Iballa Ruano;SPA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;SUP Surf Women;Caroline Angibaud;FRA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;SUP Surf Women;Tarryn Kyte;ZAF;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race SUP Men;Connor Baxter;HAW;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race SUP Men;Mo Freitas;HAW;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race SUP Men;Titouan Puyo;FRA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race SUP Men;Casper Steinfath;DNK;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race SUP Women;Candice Appleby;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race SUP Women;Terrene Black;AUS;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race SUP Women;Penelope Strickland;NZL;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race SUP Women;Lina Augaitis;CAN;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race SUP Men;Danny Ching;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race SUP Men;Javier Jimenez;MEX;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race SUP Men;Connor Baxter;HAW;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race SUP Men;Zane Schweitzer;HAW;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race SUP Women;Candice Appleby;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race SUP Women;Lina Augaitis;CAN;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race SUP Women;Terrene Black;AUS;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race SUP Women;Céline Guesdon;FRA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race Prone Men;Jack Bark;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race Prone Men;Lachie Lansdown;AUS;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race Prone Men;Cory Taylor;NZL;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race Prone Men;Kai Hall;HAW;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race Prone Women;Jordan Mercer;AUS;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race Prone Women;Carter Graves;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race Prone Women;Itziar Abascal;ESP;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Tech Race Prone Women;Jasmine Smith;NZL;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race Prone Men;Lachie Lansdown;AUS;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race Prone Men;Jack Bark;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race Prone Men;Cory Taylor;NZL;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race Prone Men;Sam Shergold;NZL;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race Prone Women;Jordan Mercer;AUS;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race Prone Women;Anna Notten;ZAF;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race Prone Women;Carter Graves;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Distance Race Prone Women;Leane Darling;HAW;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Team Relay;Australia;AUS;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Team Relay;New Zealand;NZL;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Team Relay;USA;USA;
ISA World SUP And Paddleboard Championship;2015;Sayulita, Mexico;Team Relay;Hawaii;HAW;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Open Men;Albert Muñoz;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Open Men;Chayne Simpson;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Open Men;Simon Farrer;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Open Men;Gavin Colman;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Open Women;karelle poppke;TAH;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Open Women;anne milochau;FRA;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Open Women;kaz everingham;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Open Women;sascha taurins;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Cadets;jared lewis;NZL;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Cadets;chad collis;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Cadets;jed collis;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Cadets;jock mchugh;USA;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Juniors;tom novakov;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Juniors;lachy stevens;NZL;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Juniors;liam taurins;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Juniors;karelle poppke;TAH;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Pro Juniors;matt novakov;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Pro Juniors;sam coyne;USA;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Pro Juniors;cameron stanley;NZL;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Pro Juniors;shane whitehouse;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Grand Masters;simon farrer;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Grand Masters;nick hartigan;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Grand Masters;gigs celliers;SAF;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Grand Masters;ed quinn;USA;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Veterans;terry day;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Veterans;mike novakov;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Veterans;dale ponsford;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Veterans;jamie mchugh;USA;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Senior;albert munoz;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Senior;chayne simpson;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Senior;dane rennie;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Senior;karl ward;GBR;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Masters;gavin colman;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Masters;david hernandez;ESP;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Masters;andrew heaton;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Masters;kyle bryant;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Kahunas;wayne jennings;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Kahunas;ken horton;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Kahunas;brad colwell;USA;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Kahunas;peter flood;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Legends;philippe klima;TAH;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Legends;paul satchell;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Legends;craig mcdonald;NZ;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Legends;murray weir;NZ;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Inmortals;paul burridge;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Inmortals;rudy lausz;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Inmortals;peter ware;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Inmortals;david condon;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Team;australia;AUS;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Team;commonwealth;X;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Team;united states;USA;
ISA World Kneeboard Championship;2015;Kiama, NSW, Australia;Team;new zealand;NZL;
ISA World Bodyboard Championship;2014;Iquique, Chile;Open Men;Tristan Roberts;ZAF;
ISA World Bodyboard Championship;2014;Iquique, Chile;Open Men;Amaury Laverhne;FRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;Open Men;Gabriel Brantes;CHI;
ISA World Bodyboard Championship;2014;Iquique, Chile;Open Men;Jeremy Arnoux;FRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;Open Women;Teresa Almeida;PRT;
ISA World Bodyboard Championship;2014;Iquique, Chile;Open Women;Neymara Carvalho;BRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;Open Women;Anne Cecile Lacoste;FRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;Open Women;Yuleiner Gonzalez;VEN;
ISA World Bodyboard Championship;2014;Iquique, Chile;ISA Aloha Cup;France;FRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;ISA Aloha Cup;PRTtugal;PRT;
ISA World Bodyboard Championship;2014;Iquique, Chile;ISA Aloha Cup;Brazil;BRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;ISA Aloha Cup;Venezuela;VEN;
ISA World Bodyboard Championship;2014;Iquique, Chile;Boys U18;Yoshua Toledo;CHI;
ISA World Bodyboard Championship;2014;Iquique, Chile;Boys U18;Tristan Roberts;ZAF;
ISA World Bodyboard Championship;2014;Iquique, Chile;Boys U18;Socrates Santana;BRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;Boys U18;Alexandre Castillo;FRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;Girls U18;Carolina Botteri;PER;
ISA World Bodyboard Championship;2014;Iquique, Chile;Girls U18;Anais Veliz;CHI;
ISA World Bodyboard Championship;2014;Iquique, Chile;Girls U18;Madalena Guerra;PRT;
ISA World Bodyboard Championship;2014;Iquique, Chile;Girls U18;Yumi Vasconcellos;BRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;Team;Chile;CHI;
ISA World Bodyboard Championship;2014;Iquique, Chile;Team;France;FRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;Team;South Africa;ZAF;
ISA World Bodyboard Championship;2014;Iquique, Chile;Team;PRTtugal;PRT;
ISA World Bodyboard Championship;2014;Iquique, Chile;Drop Knee;Amaury Lavernhe;FRA;
ISA World Bodyboard Championship;2014;Iquique, Chile;Drop Knee;Cesar Bauer;PER;
ISA World Bodyboard Championship;2014;Iquique, Chile;Drop Knee;Iain Campbell;ZAF;
ISA World Bodyboard Championship;2014;Iquique, Chile;Drop Knee;Angelo Freda;VEN;
ISA World Surfing Games;2014;Punta Rocas, Peru;Team;Peru;PER;
ISA World Surfing Games;2014;Punta Rocas, Peru;Team;Australia;AUS;
ISA World Surfing Games;2014;Punta Rocas, Peru;Team;Argentina;ARG;
ISA World Surfing Games;2014;Punta Rocas, Peru;Team;Costa Rica;CRI;
ISA World Surfing Games;2014;Punta Rocas, Peru;Open Men;Leandro Usuna;ARG;
ISA World Surfing Games;2014;Punta Rocas, Peru;Open Men;Anthony Fillingim;CRI;
ISA World Surfing Games;2014;Punta Rocas, Peru;Open Men;Shane Holmes;AUS;
ISA World Surfing Games;2014;Punta Rocas, Peru;Open Men;Nicholas Squiers;AUS;
ISA World Surfing Games;2014;Punta Rocas, Peru;Open Women;Anali Gomez;PER;
ISA World Surfing Games;2014;Punta Rocas, Peru;Open Women;Dominic Barona;ECU;
ISA World Surfing Games;2014;Punta Rocas, Peru;Open Women;Philippa Anderson;AUS;
ISA World Surfing Games;2014;Punta Rocas, Peru;Open Women;Jessica Grimwood;AUS;
ISA World Surfing Games;2014;Punta Rocas, Peru;ISA Aloha Cup;Peru;PER;
ISA World Surfing Games;2014;Punta Rocas, Peru;ISA Aloha Cup;South Africa;ZAF;
ISA World Surfing Games;2014;Punta Rocas, Peru;ISA Aloha Cup;Argentina;ARG;
ISA World Surfing Games;2014;Punta Rocas, Peru;ISA Aloha Cup;Australia;AUS;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Team;Hawaii;HAW;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Team;France;FRA;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Team;Australia;AUS;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Team;USA;USA;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Boys U18;Luan Wood;BRA;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Boys U18;Elivelton Santos;BRA;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Boys U18;Lucca Messina;PER;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Boys U18;Imai DeVault;HAW;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Girls U18;Tatiana Weston-Webb;HAW;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Girls U18;Kim Veteau;FRA;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Girls U18;Tia Blanco;USA;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Girls U18;Leilani McGonagle;CRI;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Boys U16;Leo-Paul Etienne;FRA;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Boys U16;Joe Van Dijk;AUS;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Boys U16;Nolan Rapoza;USA;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Boys U16;Griffin Colapinto;USA;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Girls U16;Mahina Maeda;HAW;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Girls U16;Leilani McGonagle;CRI;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Girls U16;Laura Poncini;AUS;
ISA World Junior Surfing Championship;2014;Salinas, Ecuador;Girls U16;Maddie Peterson;USA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Team;Australia;AUS;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Team;USA;USA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Team;Brazil;BRA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Team;Spain;ESP;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;SUP Surf Men;Poenaiki Raioha;TAH;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;SUP Surf Men;Jackson Close;AUS;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;SUP Surf Men;Antoine Delpero;FRA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;SUP Surf Men;Sean Poynter;USA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;SUP Surf Women;Emmy Merrill;USA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;SUP Surf Women;Caroline Angibaud;FRA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;SUP Surf Women;Shakira Westdorp;AUS;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;SUP Surf Women;Iballa Ruano;SPA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Tech Race SUP Men;Casper Steinfath;DNK;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Tech Race SUP Men;Lincoln Dews;AUS;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Tech Race SUP Men;Slater Trout;USA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Tech Race SUP Men;Eric Terrien;FRA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Tech Race SUP Women;Shakira Westdorp;AUS;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Tech Race SUP Women;Lina Augaitis;CAN;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Tech Race SUP Women;Jenny Kalmback;CRI;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Tech Race SUP Women;Shae Foudy;USA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Distance Race SUP Men;Titouan Puyo;FRA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Distance Race SUP Men;Lincoln Dews;AUS;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Distance Race SUP Men;Eric Terrien;FRA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Distance Race SUP Men;Vincius Martins;BRA;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Distance Race SUP Women;Lina Augaitis;CAN;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Distance Race SUP Women;Shakira Westdorp;AUS;
ISA World SUP And Paddleboard Championship;2014;La Boquita and Granada, Nicaragua;Distance Race SUP Women;Barbara Brazil;BRA;
